Action,Christmas,Comedy,Disney/Pixar,Drama/Indie,Foreign,Halloween,History (may or may not be based on a true event),Horror (No Jump Scares),James Bond,Kids,Musicals,Romance,Sci-Fi,Sports,Superhero Movies,TV Shows,Western
Catch That Kid,A Christmas Carol,22 Jump Street,A Cinderella Story,A Walk to Remember,Dangal,Halloween Town,Lincoln,Beetlejuice,Daniel Craig,The NeverEnding Story,West Side Story,10 Things I Hate About You,5th Element,A League of Their Own,Ant Man,Daredevil,The good the bad and the ugly
Die Hard,A Christmas Story,Airplanes,Beauty and the Beast,Baby driver,Pan's Labyrinth,Hocus Pocus,Mary Queen of Scots,Get Out,Pierce Brosnan,The Brave Little Toaster,Les Miserables,16 Candles (Oldie),Westworld,Miracle ,Captain America,VGHS ,Butch Cassidy and the sundace kid
Dunkirk ,A Year Without Santa Clause,Animal House,Legend of Tarzan,Breakfast at Tiffany's,Metropolis,Great Pumpkin Charlie Brown,Ben-Hur,Hitchcock,Sean Connery,Spirit,Annie,27 Dresses,Annihilation,Hoosiers,Dark Knight,Westworld,Tombstone
Fahrenheit 451,Christmas Charlie Brown,Bridesmaids,Lion King,Captain Fantastic,Central Station,Charlie Brown Thanksgiving,12 years of slave,Silence of the Lambs,Roger Moore,Land Before Time,La La Land,50 First Dates,Arrival,Field of dreams,Deadpool,Forged in Fire,A Fistful of Dollars
Fantastic Beasts,Elf,Easy A,Princess Diaries,Glass Castle,The seventh seal,Halloween,Saving Private Ryan ,Hannibal ,Timothy Dalton,Honey I Shrunk the Kids,Into the Woods,About Time (this),Matrix (3),Rudy,Dr Strange,Avatar the Last Airbender/Legend of Korra,True Grit
Godfather,Frosty the Snowman,Game Night,Tarzan,Gifted,In the fade,Nightmare on elm street (Freddy Kruger),apollo 13,Donnie Darko,George Lazenby,Rugrats,Greatest Showman,La La Land,Blade Runner(2),Rocky,Hulk,"Power Rangers (the movie, and series)",Hang em high
Jurassic Park,Gremlins,Ghostbusters,Aristocats,Godfather,,Haunted Mansion,The assasination of Jesse James,Battle Royale,David Niven,Inspector Gadget,Grease,P.S. I Love You,E.T.,Remember the Titans,Iron Man,Code Lyoko,El Dorado
Pulp Fiction,Home Alone,,Princess and the Frog,Good Fellas,,Teen witch ,Hacksaw Ridge,Happy Death Day,Barry Nelson,Matilda,High School Musical,Pretty in Pink,Interstellar,Jerry Maguire,Spiderman,Tower Prep,the Undefeated
Risky Business,Nightmare Before Christmas,The Heat,Monster's Inc (University also),Gravity,,Phantom of the Multiplex,Pearl Harbor,Alfred Hitchcok,,Little Rascals,Mary Poppins,Pretty Woman,Terminator(4),Million Dollar Baby,Spiderman Homecoming,Black Mirror,North to Alaska
