Action,Christmas,Comedy,Disney/Pixar,Drama/Indie,Foreign,Halloween,History (may or may not be based on a true event),Horror (No Jump Scares),James Bond,Kids,Musicals,Romance,Sci-Fi,Sports,Superhero Movies,TV Shows,Western
Die Hard,Rudolph the Rednose Reindeer (Claymation),Daddy Day Care,Bambi,Glass Castle,RRR (Telugu on Zee5),The Addams Family,Enemy at the Gates,,,Casper,Mama Mia,Say Anything (80s),Robo Cop,The Sandlot,Thor,Friends,The Man who shot liberty Valance
Catch That Kid,Elf,Easy A,Princess Diaries,Breakfast at Tiffany's,The seventh seal,Halloween,Saving Private Ryan ,Hannibal ,Timothy Dalton,Honey I Shrunk the Kids,Into the Woods,About Time (this),Matrix (3),Rudy,Dark Knight,Avatar the Last Airbender/Legend of Korra,True Grit
Fahrenheit 451,A Year Without Santa Clause,Animal House,Legend of Tarzan,Silver Linings Playbook,Metropolis,Great Pumpkin Charlie Brown,Ben-Hur,Hitchcock,Sean Connery,Spirit,Annie,27 Dresses,Annihilation,Hoosiers,Captain America,Westworld,Tombstone
Godfather,,Starsky and Hutch,Fox and the Hound,A Walk to Remember,,,,,,,,Notting hill,War Games,,Ant Man,Heroes,
Jurassic Park,A Christmas Story,Airplanes,A Cinderella Story,Captain Fantastic,Pan's Labyrinth,Hocus Pocus,Mary Queen of Scots,Get Out,Pierce Brosnan,The Brave Little Toaster,Les Miserables,16 Candles (Oldie),Westworld,Miracle ,Hulk,Daredevil,Butch Cassidy and the sundace kid
Pulp Fiction,A Christmas Carol,22 Jump Street,Lion King,Gifted,Central Station,Halloween Town,Lincoln,Beetlejuice,Daniel Craig,The NeverEnding Story,West Side Story,10 Things I Hate About You,5th Element,A League of Their Own,Iron Man,Forged in Fire,The good the bad and the ugly
Risky Business,Christmas Charlie Brown,Bridesmaids,Tarzan,Godfather,In the fade,Charlie Brown Thanksgiving,12 years of slave,Silence of the Lambs,Roger Moore,Land Before Time,La La Land,50 First Dates,Arrival,Field of dreams,Spiderman,"Power Rangers (the movie, and series)",A Fistful of Dollars
Top Gun,Frosty the Snowman,Game Night,Aristocats,Good Fellas,Bommarilu,Nightmare on elm street (Freddy Kruger),apollo 13,Donnie Darko,George Lazenby,Rugrats,Greatest Showman,La La Land,Blade Runner(2),Rocky,Spiderman Homecoming,Code Lyoko,Hang em high
Pirates of the Carribbean,Gremlins,Ghostbusters,Princess and the Frog,Gravity,,Haunted Mansion,The assasination of Jesse James,Battle Royale,David Niven,Inspector Gadget,Grease,P.S. I Love You,E.T.,Remember the Titans,Superman,Tower Prep,El Dorado
Transformers,Home Alone,,Monster's Inc (University also),Jaws,,Teen witch ,Hacksaw Ridge,Happy Death Day,Barry Nelson,Matilda,High School Musical,Pretty in Pink,Terminator(4),Jerry Maguire,Wolverine,Black Mirror,the Undefeated
Matrix,Nightmare Before Christmas,The Heat,Lady and the Tramp,Manchester by the Sea,,Phantom of the Multiplex,Pearl Harbor,Alfred Hitchcok,,Little Rascals,Mary Poppins,Pretty Woman,Mad Max (2),Million Dollar Baby,X-Men: Apocalypse,Atypical,North to Alaska
Fast and Furious,Santa Clause is Coming to Town (So Good),The House,Cinderella,Marley and Me,,young Frankenstein,There will be blood,,,Mouse Detective,The Sound of Music,Proposal,Planet of the Apes (4),Karate Kid,The Avengers,The Office,Rio Bravo
